Cylinder Analysis in LS-Dyna,Resultant Force
X-displacement,A1,
    2.3726339722e+02,    1.5903484344e+01,
    2.3776272583e+02,    1.6534109116e+01,
    2.3826214600e+02,    1.6608955383e+01,
    2.3876161194e+02,    1.6168752670e+01,
    2.3926113892e+02,    1.5636568069e+01,
    2.3976069641e+02,    1.5019818306e+01,
    2.4026033020e+02,    1.4792910576e+01,
    2.4076000977e+02,    1.4924413681e+01,
    2.4125952148e+02,    1.4942776680e+01,
    2.4175888062e+02,    1.4851989746e+01,
    2.4225823975e+02,    1.4801977158e+01,
    2.4275759888e+02,    1.4790064812e+01,
    2.4325717163e+02,    1.4703734398e+01,
    2.4375692749e+02,    1.4546177864e+01,
    2.4425636292e+02,    1.4715764046e+01,
    2.4475550842e+02,    1.5201004982e+01,
    2.4525492859e+02,    1.5696942329e+01,
    2.4575462341e+02,    1.6203367233e+01,
    2.4625415039e+02,    1.6322011948e+01,
    2.4675352478e+02,    1.6051155090e+01,
    2.4725314331e+02,    1.5765358925e+01,
    2.4775300598e+02,    1.5464557648e+01,
    2.4825262451e+02,    1.5279858589e+01,
    2.4875198364e+02,    1.5213681221e+01,
    2.4925125122e+02,    1.5238348961e+01,
    2.4975042725e+02,    1.5353555679e+01,
    2.5024989319e+02,    1.5415510178e+01,
    2.5074963379e+02,    1.5422661781e+01,
    2.5124925232e+02,    1.5252295494e+01,
    2.5174876404e+02,    1.4900685310e+01,
    2.5224822998e+02,    1.4669171333e+01,
    2.5274765015e+02,    1.4560276031e+01,
    2.5324700928e+02,    1.4663416862e+01,
    2.5374632263e+02,    1.4984804153e+01,
    2.5424588013e+02,    1.5234134674e+01,
    2.5474571228e+02,    1.5406879425e+01,
    2.5524526978e+02,    1.5405575752e+01,
    2.5574458313e+02,    1.5219283104e+01,
    2.5624401855e+02,    1.5097021103e+01,
    2.5674359131e+02,    1.5043366432e+01,
    2.5724313354e+02,    1.4936722755e+01,
    2.5774261475e+02,    1.4772838593e+01,
    2.5824209595e+02,    1.4759593010e+01,
    2.5874154663e+02,    1.4906481743e+01,
    2.5924108887e+02,    1.5028915405e+01,
    2.5974069214e+02,    1.5124285698e+01,
    2.6024032593e+02,    1.5224931717e+01,
    2.6073992920e+02,    1.5331418037e+01,
    2.6123928833e+02,    1.5233420372e+01,
    2.6173837280e+02,    1.4907281876e+01,
    2.6223770142e+02,    1.4650510788e+01,
    2.6273733521e+02,    1.4471764565e+01,
    2.6323687744e+02,    1.4503301620e+01,
    2.6373632812e+02,    1.4767589569e+01,
    2.6423583984e+02,    1.4946249962e+01,
    2.6473544312e+02,    1.5027812004e+01,
    2.6523510742e+02,    1.5018610001e+01,
    2.6573477173e+02,    1.4904812813e+01,
    2.6623422241e+02,    1.4751213074e+01,
    2.6673339844e+02,    1.4551368713e+01,
    2.6723287964e+02,    1.4314074516e+01,
    2.6773269653e+02,    1.4033616066e+01,
    2.6823239136e+02,    1.3957912445e+01,
    2.6873196411e+02,    1.4125944138e+01,
    2.6923147583e+02,    1.4391435623e+01,
    2.6973089600e+02,    1.4772018433e+01,
    2.7023022461e+02,    1.5191528320e+01,
    2.7072940063e+02,    1.5657383919e+01,
